127.0.0.1 - - [05/Apr/2020:11:02:59 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [05/Apr/2020:11:03:02 +0530] "GET /appone/ HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [05/Apr/2020:11:03:45 +0530] "GET /appone/ HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [05/Apr/2020:11:04:08 +0530] "GET /appone/carapi HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [05/Apr/2020:11:04:21 +0530] "GET /appone/carapi/cars HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [05/Apr/2020:11:04:31 +0530] "GET /appone/carapi/myresource HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [05/Apr/2020:11:13:51 +0530] "GET /appone/carapi/myresource HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [05/Apr/2020:11:13:57 +0530] "POST /appone/carapi/myresource HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [05/Apr/2020:11:14:14 +0530] "POST /appone/carapi/myresource HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [05/Apr/2020:11:14:15 +0530] "POST /appone/carapi/myresource HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [05/Apr/2020:11:14:19 +0530] "GET /appone/carapi/myresource HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [05/Apr/2020:11:14:32 +0530] "GET /appone/carapi/myresource HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [05/Apr/2020:11:14:36 +0530] "POST /appone/carapi/myresource HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [05/Apr/2020:11:14:42 +0530] "GET /appone/carapi/myresource HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [05/Apr/2020:11:20:56 +0530] "PUT /appone/carapi/myresource HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [05/Apr/2020:11:21:06 +0530] "DELETE /appone/carapi/myresource HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [05/Apr/2020:11:21:12 +0530] "GET /appone/carapi/myresource HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [05/Apr/2020:11:58:56 +0530] "GET /appone/carapi/users HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [05/Apr/2020:12:24:23 +0530] "GET /appone/carapi/UserResources HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [05/Apr/2020:12:24:51 +0530] "GET /appone/carapi/users HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [05/Apr/2020:12:38:17 +0530] "GET /appone/carapi/users/1 HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [05/Apr/2020:12:38:36 +0530] "GET /appone/carapi/users/id/1 HTTP/1.1" 400 35
0:0:0:0:0:0:0:1 - - [05/Apr/2020:12:39:46 +0530] "GET /appone/carapi/users/id/1 HTTP/1.1" 400 35
0:0:0:0:0:0:0:1 - - [05/Apr/2020:12:40:26 +0530] "GET /appone/carapi/users/id/1 HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [05/Apr/2020:12:44:13 +0530] "GET /appone/carapi/users/id/1 HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [05/Apr/2020:12:56:16 +0530] "GET /appone/carapi/users/id/5 HTTP/1.1" 500 6125
0:0:0:0:0:0:0:1 - - [05/Apr/2020:13:04:11 +0530] "GET /appone/carapi/users/id/5 HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [05/Apr/2020:13:05:39 +0530] "GET /appone/carapi/users/id/5 HTTP/1.1" 200 47
